id,mailing_design_id,clinic_id,clinic_af_file_id,printer_id,printer_product_id,printed_qty,distributor_id,distributor_service_id,distributed_stand_qty,distributed_doordrop_qty,"deleted_at","created_at","updated_at"
52,6,80,,5,5,35000,3,20,0,35000,,"2019-10-23 13:59:57","2019-10-25 11:34:41"
53,6,160,,5,5,40000,3,20,0,40000,,"2019-10-23 13:59:57","2019-10-25 11:34:46"
54,6,161,,5,5,40000,3,20,0,40000,,"2019-10-23 13:59:57","2019-10-25 11:34:46"
55,6,219,,5,5,26000,3,20,0,26000,,"2019-10-23 13:59:57","2019-10-25 11:34:39"
56,6,28,,5,5,25000,3,20,0,25000,,"2019-10-23 13:59:57","2019-10-25 11:34:38"
57,6,30,,5,5,25000,3,20,0,25000,,"2019-10-23 13:59:57","2019-10-25 11:34:38"
58,6,31,,5,5,40000,3,20,0,40000,,"2019-10-23 13:59:57","2019-10-25 11:34:38"
59,6,32,,5,5,50000,3,20,0,50000,,"2019-10-23 13:59:57","2019-10-25 11:34:38"
60,6,50,,5,5,24000,3,20,0,24000,,"2019-10-23 13:59:57","2019-10-25 11:34:39"
61,6,62,,5,5,20000,3,20,0,20000,,"2019-10-23 13:59:57","2019-10-25 11:34:40"
62,6,67,,5,5,38000,3,20,0,38000,,"2019-10-23 13:59:57","2019-10-25 11:34:40"
63,6,148,,5,5,20000,3,20,0,20000,,"2019-10-23 13:59:57","2019-10-25 13:48:22"
64,6,149,,5,5,20000,3,20,0,20000,,"2019-10-23 13:59:57","2019-10-25 13:48:22"
65,6,167,,5,5,25000,3,20,0,25000,,"2019-10-23 13:59:57","2019-10-25 11:34:46"
66,6,223,,5,5,36000,3,20,0,36000,,"2019-10-23 13:59:57","2019-10-25 11:34:37"
67,7,13,,5,5,43800,2,1,0,43800,,"2019-10-23 14:00:00","2019-10-25 11:34:37"
68,7,51,,5,5,29800,2,1,0,29800,,"2019-10-23 14:00:00","2019-10-25 11:34:39"
69,7,154,,5,5,38900,2,1,0,38900,,"2019-10-23 14:00:00","2019-10-25 11:34:45"
70,7,11,,5,5,41871,2,1,0,41871,,"2019-10-23 14:00:00","2019-10-25 11:34:36"
71,7,35,,5,5,42900,2,1,0,42900,,"2019-10-23 14:00:00","2019-10-25 11:34:38"
72,7,53,,5,5,27570,2,1,0,27570,,"2019-10-23 14:00:00","2019-10-25 11:34:39"
73,7,82,,5,5,27243,2,1,400,26843,,"2019-10-23 14:00:00","2019-10-25 11:34:41"
74,7,83,,5,5,26613,2,1,400,26213,,"2019-10-23 14:00:00","2019-10-25 11:34:41"
75,7,86,,5,5,26700,2,1,0,26700,,"2019-10-23 14:00:00","2019-10-25 11:34:41"
76,7,159,,5,5,39600,2,1,0,39600,,"2019-10-23 14:00:00","2019-10-25 11:34:46"
77,7,163,,5,5,26537,2,1,0,26537,,"2019-10-23 14:00:00","2019-10-25 11:34:46"
78,7,213,,5,5,43605,2,1,0,43605,,"2019-10-23 14:00:00","2019-10-25 11:34:39"
79,7,44,,5,5,47700,2,1,0,47700,,"2019-10-23 14:00:00","2019-10-25 11:34:39"
80,7,71,,5,5,38690,2,1,0,38690,,"2019-10-23 14:00:00","2019-10-25 11:34:40"
81,7,72,,5,5,44100,2,1,0,44100,,"2019-10-23 14:00:00","2019-10-25 11:34:40"
82,7,133,,5,5,32500,2,1,0,32500,,"2019-10-23 14:00:00","2019-10-25 11:34:44"
83,7,75,,5,5,28609,2,1,0,28609,,"2019-10-23 14:00:01","2019-10-25 11:34:41"
84,7,76,,5,5,39580,2,1,0,39580,,"2019-10-23 14:00:01","2019-10-25 11:34:40"
85,7,14,,5,5,34526,2,1,0,34526,,"2019-10-23 14:00:01","2019-10-25 11:34:37"
86,7,81,,5,5,61486,2,1,0,61486,,"2019-10-23 14:00:01","2019-10-25 11:34:41"
87,7,92,,5,5,35890,2,1,0,35890,,"2019-10-23 14:00:01","2019-10-25 11:34:42"
88,7,187,,5,5,37223,2,1,0,37223,,"2019-10-23 14:00:01","2019-10-25 11:34:47"
89,7,15,,5,5,18425,2,1,0,18425,,"2019-10-23 14:00:01","2019-10-25 11:34:37"
90,7,56,,5,5,26000,2,1,0,26000,,"2019-10-23 14:00:01","2019-10-25 11:34:40"
91,7,59,,5,5,44550,2,1,0,44550,,"2019-10-23 14:00:01","2019-10-25 11:34:40"
92,7,120,,5,5,55600,2,1,0,55600,,"2019-10-23 14:00:01","2019-10-25 11:34:43"
93,7,121,,5,5,35738,2,1,0,35738,,"2019-10-23 14:00:01","2019-10-25 14:10:49"
94,7,122,,5,5,35738,2,1,0,35738,,"2019-10-23 14:00:01","2019-10-25 14:10:49"
95,7,126,,5,5,42000,2,1,0,42000,,"2019-10-23 14:00:01","2019-10-25 11:34:43"
96,7,153,,5,5,17000,2,1,0,17000,,"2019-10-23 14:00:01","2019-10-25 11:34:45"
97,7,183,,5,5,39850,2,1,0,39850,,"2019-10-23 14:00:01","2019-10-25 11:34:47"
98,7,195,,5,5,28520,2,1,0,28520,,"2019-10-23 14:00:01","2019-10-25 11:34:47"
99,7,49,,5,5,49000,2,1,0,49000,,"2019-10-23 14:00:01","2019-10-25 11:34:39"
100,7,169,,5,5,59000,2,1,0,59000,,"2019-10-23 14:00:01","2019-10-25 11:34:46"
101,7,170,,5,5,51400,2,1,0,51400,,"2019-10-23 14:00:02","2019-10-25 11:34:46"
102,7,171,,5,5,66525,2,1,0,66525,,"2019-10-23 14:00:02","2019-10-25 11:34:46"
103,7,172,,5,5,62800,2,1,0,62800,,"2019-10-23 14:00:02","2019-10-25 11:34:46"
104,7,188,,5,5,30220,2,1,0,30220,,"2019-10-23 14:00:02","2019-10-25 11:34:47"
105,7,230,,5,5,20500,2,1,0,20500,,"2019-10-23 14:00:02","2019-10-25 11:34:39"
106,7,231,,5,5,44500,2,1,0,44500,,"2019-10-23 14:00:02","2019-10-25 11:34:36"
107,7,78,,5,5,23100,2,18,0,23100,,"2019-10-23 14:00:02","2019-10-25 11:34:41"
108,7,79,,5,5,19700,2,18,0,19700,,"2019-10-23 14:00:02","2019-10-25 11:34:41"
109,7,118,,5,5,19500,2,18,0,19500,,"2019-10-23 14:00:02","2019-10-25 11:34:43"
110,7,124,,5,5,31200,2,18,0,31200,,"2019-10-23 14:00:02","2019-10-25 11:34:43"
111,7,139,,5,5,48000,2,18,0,48000,,"2019-10-23 14:00:02","2019-10-25 11:34:44"
112,7,140,,5,5,57500,2,18,0,57500,,"2019-10-23 14:00:02","2019-10-25 11:34:44"
113,7,150,,5,5,18900,2,3,400,18500,,"2019-10-23 14:00:02","2019-10-25 11:34:45"
114,7,176,,5,5,16310,2,3,200,16110,,"2019-10-23 14:00:02","2019-10-25 11:34:46"
115,7,194,,5,5,18200,2,3,200,18000,,"2019-10-23 14:00:02","2019-10-25 11:34:47"
116,7,164,,5,5,51600,2,3,1200,50400,,"2019-10-23 14:00:02","2019-10-25 11:34:46"
117,7,40,,5,5,24000,3,4,0,24000,,"2019-10-23 14:00:02","2019-10-25 11:34:38"
118,7,165,,5,5,65000,3,4,0,65000,,"2019-10-23 14:00:02","2019-10-25 11:34:46"
119,7,181,,5,5,25000,3,4,0,25000,,"2019-10-23 14:00:02","2019-10-25 11:34:47"
120,7,34,,5,5,55000,3,9,0,55000,,"2019-10-23 14:00:02","2019-10-25 11:34:38"
121,7,214,,5,5,15000,3,9,0,15000,,"2019-10-23 14:00:02","2019-10-25 11:34:44"
122,7,232,,5,5,24000,3,9,0,24000,,"2019-10-23 14:00:02","2019-10-25 11:34:37"
123,7,91,,5,5,55000,3,9,0,55000,,"2019-10-23 14:00:03","2019-10-25 11:34:42"
124,7,146,,5,5,24000,3,9,0,24000,,"2019-10-23 14:00:03","2019-10-25 11:34:45"
125,7,138,,5,5,20000,3,9,0,20000,,"2019-10-23 14:00:03","2019-10-25 11:34:44"
126,7,158,,5,5,33750,2,8,0,33750,,"2019-10-23 14:00:03","2019-10-25 11:34:45"
127,7,168,,5,5,30000,2,7,0,30000,,"2019-10-23 14:00:03","2019-10-25 11:34:46"
128,7,173,,5,5,19500,2,6,0,19500,,"2019-10-23 14:00:03","2019-10-25 11:34:46"
129,7,192,,5,5,45000,3,9,0,45000,,"2019-10-23 14:00:03","2019-10-25 11:34:47"
130,7,193,,5,5,50000,3,9,0,50000,,"2019-10-23 14:00:03","2019-10-25 11:34:47"
131,7,29,,5,5,15000,3,9,0,15000,,"2019-10-23 14:00:03","2019-10-25 11:34:38"
132,7,203,,5,5,20000,3,9,0,20000,,"2019-10-23 14:00:03","2019-10-25 11:34:48"
133,7,2,,5,5,66467,2,5,0,66467,,"2019-10-23 14:00:03","2019-10-25 11:34:36"
134,7,41,,5,5,70518,2,5,0,70518,,"2019-10-23 14:00:03","2019-10-25 11:34:39"
135,7,151,,5,5,53122,2,5,0,53122,,"2019-10-23 14:00:03","2019-10-25 11:34:45"
136,7,179,,5,5,62087,2,5,0,62087,,"2019-10-23 14:00:03","2019-10-25 11:34:47"
