id,name,created_at,updated_at
140,S.V Del Raspeig,2017-12-31,2017-12-31
141,Sabadell,2017-12-31,2017-12-31
142,Sagrada Familia,2017-12-31,2017-12-31
143,Sagunto,2017-12-31,2017-12-31
144,Salamanca,2017-12-31,2017-12-31
145,San Fernando,2017-12-31,2017-12-31
146,Sanlucar,2017-12-31,2017-12-31
147,Sant Antoni,2017-12-31,2017-12-31
148,Santa Cruz De Tenerife,2017-12-31,2017-12-31
149,Santander,2017-12-31,2017-12-31
150,Sants,2017-12-31,2017-12-31
151,Santurce,2017-12-31,2017-12-31
152,Santutxu,2017-12-31,2017-12-31
153,Segovia,2017-12-31,2017-12-31
154,Sevilla 1,2017-12-31,2017-12-31
155,Sevilla 2,2017-12-31,2017-12-31
156,Sevilla 3,2017-12-31,2017-12-31
157,Sevilla Luis De Morales,2017-12-31,2017-12-31
158,Soria,2017-12-31,2017-12-31
159,T. De Ardoz,2017-12-31,2017-12-31
160,T. De La Reina,2017-12-31,2017-12-31
161,Tarragona,2017-12-31,2017-12-31
162,Telde,2017-12-31,2017-12-31
163,Terrassa,2017-12-31,2017-12-31
164,Teruel,2017-12-31,2017-12-31
165,Tomelloso,2017-12-31,2017-12-31
166,Torrelavega,2017-12-31,2017-12-31
167,Torremolinos,2017-12-31,2017-12-31
168,Torrent,2017-12-31,2017-12-31
169,Torrevieja,2017-12-31,2017-12-31
170,Triana,2017-12-31,2017-12-31
171,Tudela,2017-12-31,2017-12-31
172,Úbeda,2017-12-31,2017-12-31
173,Usera 134,2017-12-31,2017-12-31
174,Usera 139,2017-12-31,2017-12-31
175,Utrera,2017-12-31,2017-12-31
176,Vaguada,2017-12-31,2017-12-31
177,Valencia 1,2017-12-31,2017-12-31
178,Valencia 2,2017-12-31,2017-12-31
179,Valencia 3,2017-12-31,2017-12-31
180,Valladolid 1,2017-12-31,2017-12-31
181,Valladolid 2,2017-12-31,2017-12-31
182,Vallecas,2017-12-31,2017-12-31
183,Vecindario,2017-12-31,2017-12-31
184,Velez Málaga,2017-12-31,2017-12-31
185,Vigo 1,2017-12-31,2017-12-31
186,Vigo2,2017-12-31,2017-12-31
187,Vilafranca Del Penedes,2017-12-31,2017-12-31
188,Vilagarcía De A,2017-12-31,2017-12-31
189,Vilanova I La Geltrú,2017-12-31,2017-12-31
190,Vitoria 1,2017-12-31,2017-12-31
191,Vitoria 2,2017-12-31,2017-12-31
192,Zamora,2017-12-31,2017-12-31
193,Zaragoza 1,2017-12-31,2017-12-31
194,Zaragoza 2,2017-12-31,2017-12-31
195,Zaragoza 4,2017-12-31,2017-12-31
