"id","CMunicipio","CPostal","name","county_id","created_at","updated_at"
"92","001","43714","Aiguamúrcia","43",2017-12-31,2017-12-31
"93","001","43815","Aiguamúrcia","43",2017-12-31,2017-12-31
"94","001","44155","Ababuj","44",2017-12-31,2017-12-31
"95","001","45110","Ajofrín","45",2017-12-31,2017-12-31
"96","001","46140","Ademuz","46",2017-12-31,2017-12-31
"97","001","47129","Adalia","47",2017-12-31,2017-12-31
"98","001","48220","Abadiño","48",2017-12-31,2017-12-31
"99","001","50375","Abanto","50",2017-12-31,2017-12-31
"100","001","51004","Ceuta","51",2017-12-31,2017-12-31
"101","001","51005","Ceuta","51",2017-12-31,2017-12-31
"102","001","51003","Ceuta","51",2017-12-31,2017-12-31
"103","001","51002","Ceuta","51",2017-12-31,2017-12-31
"104","001","51001","Ceuta","51",2017-12-31,2017-12-31
"105","001","52006","Melilla","52",2017-12-31,2017-12-31
"106","001","52002","Melilla","52",2017-12-31,2017-12-31
"107","001","52003","Melilla","52",2017-12-31,2017-12-31
"108","001","52004","Melilla","52",2017-12-31,2017-12-31
"109","001","52005","Melilla","52",2017-12-31,2017-12-31
"110","001","52001","Melilla","52",2017-12-31,2017-12-31
"111","002","01450","Amurrio","1",2017-12-31,2017-12-31
"112","002","01470","Amurrio","1",2017-12-31,2017-12-31
"113","002","01468","Amurrio","1",2017-12-31,2017-12-31
"114","002","02152","Alatoz","2",2017-12-31,2017-12-31
"115","002","03698","Agost","3",2017-12-31,2017-12-31
"116","002","04520","Abrucena","4",2017-12-31,2017-12-31
"117","002","04533","Abrucena","4",2017-12-31,2017-12-31
"118","002","05430","Adrada, La","5",2017-12-31,2017-12-31
"119","002","06410","Aceuchal","6",2017-12-31,2017-12-31
"120","002","06207","Aceuchal","6",2017-12-31,2017-12-31
"121","002","07730","Alaior","7",2017-12-31,2017-12-31
"122","002","08256","Aguilar de Segarra","8",2017-12-31,2017-12-31
"123","002","10262","Abertura","10",2017-12-31,2017-12-31
"124","002","11693","Alcalá del Valle","11",2017-12-31,2017-12-31
"125","002","12222","Aín","12",2017-12-31,2017-12-31
"126","002","13410","Agudo","13",2017-12-31,2017-12-31
"127","002","14920","Aguilar de la Frontera","14",2017-12-31,2017-12-31
"128","002","15895","Ames","15",2017-12-31,2017-12-31
"129","002","15870","Ames","15",2017-12-31,2017-12-31
"130","002","15864","Ames","15",2017-12-31,2017-12-31
"131","002","15220","Ames","15",2017-12-31,2017-12-31
"132","002","15228","Ames","15",2017-12-31,2017-12-31
